size	x	y	showSelected1
4	0.914806043496355	1	1
4	0.937075413297862	2	1
9	0.286139534786344	3	1
11.0710678118655	0.830447626067326	4	1
9	0.641745518893004	5	1
9	0.134666597237811	8	1
4	0.656992290401831	9	1
4	0.705064784036949	10	1
4	0.45774177624844	11	1
9	0.934672247152776	13	1
9	0.462292822543532	15	1
4	0.117487361654639	18	1
4	0.560332746244967	20	1
4	0.914806043496355	1	2
11.0710678118655	0.937075413297862	2	2
9	0.286139534786344	3	2
4	0.830447626067326	4	2
9	0.641745518893004	5	2
11.0710678118655	0.519095949130133	6	2
4	0.736588314641267	7	2
4	0.134666597237811	8	2
4	0.705064784036949	10	2
9	0.978226428385824	17	2
9	0.117487361654639	18	2
4	0.560332746244967	20	2
4	0.937075413297862	2	3
4	0.286139534786344	3	3
4	0.830447626067326	4	3
11.0710678118655	0.641745518893004	5	3
4	0.134666597237811	8	3
9	0.656992290401831	9	3
4	0.705064784036949	10	3
4	0.45774177624844	11	3
4	0.719112251652405	12	3
4	0.934672247152776	13	3
9	0.255428824340925	14	3
4	0.940014522755519	16	3
4	0.978226428385824	17	3
9	0.117487361654639	18	3
4	0.560332746244967	20	3
4	0.914806043496355	1	4
9	0.830447626067326	4	4
4	0.641745518893004	5	4
4	0.519095949130133	6	4
4	0.736588314641267	7	4
9	0.134666597237811	8	4
4	0.656992290401831	9	4
4	0.705064784036949	10	4
4	0.45774177624844	11	4
4	0.719112251652405	12	4
9	0.934672247152776	13	4
4	0.255428824340925	14	4
9	0.940014522755519	16	4
4	0.978226428385824	17	4
4	0.117487361654639	18	4
4	0.474997081561014	19	4
4	0.914806043496355	1	5
4	0.937075413297862	2	5
4	0.641745518893004	5	5
4	0.519095949130133	6	5
4	0.656992290401831	9	5
9	0.705064784036949	10	5
9	0.45774177624844	11	5
9	0.255428824340925	14	5
9	0.462292822543532	15	5
9	0.940014522755519	16	5
11.0710678118655	0.978226428385824	17	5
4	0.117487361654639	18	5
4	0.474997081561014	19	5
4	0.914806043496355	1	6
14	0.937075413297862	2	6
4	0.641745518893004	5	6
